author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
VESPER;developer;https://www.cian.ru/sale/flat/262519758/;Москва;sale;flat;5;21;2;110.6;103787040;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
ID 108172779;real_estate_agent;https://www.cian.ru/sale/flat/301496936/;Москва;sale;flat;7;8;1;53.2;58786000;Таганский;Славянская площадь;2/5с1;Китай-город;LUMIN
ALFA real estate;real_estate_agent;https://www.cian.ru/sale/flat/300964449/;Москва;sale;flat;20;22;2;38.4;13999000;Южное Тушино;бульвар Яна Райниса;45К2;Сходненская;
Главстрой;developer;https://www.cian.ru/sale/flat/296921092/;Москва;sale;flat;2;18;2;74.6;30350099;Филевский парк;Береговой проезд;2;Народное Ополчение;Береговой-2
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/302081797/;Москва;sale;flat;2;10;2;69.4;85000000;Тверской; Палиха;4;Менделеевская;Клубный дом Maison Rouge
Юлия Шмелева;realtor;https://www.cian.ru/sale/flat/304483841/;Москва;sale;flat;7;12;1;35.0;12950000;Чертаново Южное; Подольских Курсантов;2к1;Пражская;
Главстрой;developer;https://www.cian.ru/sale/flat/301772281/;Москва;sale;flat;2;8;2;48.83;24219680;Котловка;31/2;31/2;Профсоюзная;Новые Академики ЖК
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/300199357/;Москва;sale;flat;14;58;2;60.2;19900000;Ростокино;проспект Мира;188Бк1;Ростокино;Триколор
Дмитрий Воронин;realtor;https://www.cian.ru/sale/flat/304642640/;Москва;sale;flat;6;9;2;40.0;16500000;; Инженера Кнорре;7к1;Румянцево;
Regions Development;developer;https://www.cian.ru/sale/flat/304060514/;Москва;sale;flat;2;23;2;72.1;31598302;Нагатинский затон;проспект Андропова;9/1к2;Технопарк;Dream Towers
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/302836719/;Москва;sale;flat;16;31;1;35.8;10500000;Ярославский;проспект Мира;222;Ростокино;МИРАПОЛИС
